"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"519",15,"Ross Dwelley",SF,"TE83","9","4 out of 5 stars","-"
"520",15,"Tre' McKitty",LAC,"TE84","8","4 out of 5 stars","-216"
"521",15,"Shi Smith",CAR,"WR172","13","3 out of 5 stars","-210"
"522",15,"Kennedy Brooks",PHI,"RB148","7","3 out of 5 stars","-"
"523",15,"Kyle Allen",HOU,"QB47","6","4 out of 5 stars","-"
"524",15,"Damiere Byrd",ATL,"WR173","14","4 out of 5 stars","-"
"525",15,"James O'Shaughnessy",FA,"TE85","-","-","-"
"526",15,"Tyler Goodson",GB,"RB149","14","3 out of 5 stars","-"
"527",15,"Josh Gordon",TEN,"WR174","6","3 out of 5 stars","-"
"528",15,"Trent Sherfield",MIA,"WR175","11","2 out of 5 stars","-"
"529",15,"Miles Boykin",PIT,"WR176","9","4 out of 5 stars","-"
"530",15,"James McCourt",JAC,"K41","11","4 out of 5 stars","-"
"531",16,"DeAndre Carter",LAC,"WR177","8","3 out of 5 stars","-"
"532",16,"Hunter Long",MIA,"TE86","11","3 out of 5 stars","-"
"533",16,"Tyler Davis",GB,"TE87","14","1 out of 5 stars","-"
"534",16,"Patrick Taylor Jr.",GB,"RB150","14","3 out of 5 stars","-"
"535",16,"Johnny Mundt",MIN,"TE88","7","3 out of 5 stars","-"
"536",16,"Dez Fitzpatrick",TEN,"WR178","6","3 out of 5 stars","-"
"537",16,"Richie James Jr.",NYG,"WR179","9","4 out of 5 stars","-"
"538",16,"Julius Chestnut",TEN,"RB151","6","4 out of 5 stars","-"
"539",16,"Dwayne Washington",NO,"RB152","14","3 out of 5 stars","-"
"540",16,"KaVontae Turpin",DAL,"WR180","9","3 out of 5 stars","-"
"541",16,"Adam Humphries",FA,"WR181","-","-","-"
"542",16,"Collin Hill",FA,"QB48","-","-","-"
"543",16,"Andrew Wellock",CAR,"K42","13","4 out of 5 stars","-"
"544",16,"Parker Hesse",ATL,"TE89","14","2 out of 5 stars","-"
"545",16,"Ryan Santoso",FA,"K43","-","-","-"
"546",16,"Andrew Beck",DEN,"TE90","9","3 out of 5 stars","-"
"547",16,"Andy Dalton",NO,"QB49","14","3 out of 5 stars","-"
"548",16,"Chad Henne",KC,"QB50","8","2 out of 5 stars","-"
"549",16,"Penny Hart",SEA,"WR182","11","4 out of 5 stars","-"
"550",16,"La'Mical Perine",PHI,"RB153","7","3 out of 5 stars","-"
