"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"266",12,"Tyler Conklin",NYJ,"TE35","7","3 out of 5 stars","-58"
"267",12,"Pierre Strong Jr.",NE,"RB71","11","2 out of 5 stars","+30"
"268",12,"Wil Lutz",NO,"K15","11","5 out of 5 stars","-3"
"269",12,"Nick Folk",NE,"K16","11","2 out of 5 stars","-30"
"270",12,"Sterling Shepard",NYG,"WR97","13","3 out of 5 stars","+6"
"271",12,"Kendrick Bourne",NE,"WR98","11","2 out of 5 stars","+75"
"272",12,"Isaiah Spiller",LAC,"RB72","5","3 out of 5 stars","+90"
"273",12,"Deuce Vaughn",DAL,"RB73","7","3 out of 5 stars","-115"
"274",12,"Carolina Panthers",CAR,"DST21","7","3 out of 5 stars","+10"
"275",12,"Baker Mayfield",TB,"QB32","5","3 out of 5 stars","-28"
"276",12,"Logan Thomas",WAS,"TE36","14","3 out of 5 stars","+38"
"277",12,"Seattle Seahawks",SEA,"DST22","5","2 out of 5 stars","-61"
"278",12,"Los Angeles Rams",LAR,"DST23","10","3 out of 5 stars","0"
"279",12,"Chris Boswell",PIT,"K17","6","4 out of 5 stars","-22"
"280",12,"Latavius Murray",BUF,"RB74","13","2 out of 5 stars","+23"
"281",12,"Puka Nacua",LAR,"WR99","10","3 out of 5 stars","+13"
"282",12,"Israel Abanikanda",NYJ,"RB75","7","3 out of 5 stars","+8"
"283",12,"New York Giants",NYG,"DST24","13","3 out of 5 stars","-58"
"284",12,"Matt Prater",ARI,"K18","14","2 out of 5 stars","-31"
"285",12,"Zack Moss",IND,"RB76","11","3 out of 5 stars","-15"
"286",12,"Tennessee Titans",TEN,"DST25","7","5 out of 5 stars","-"
"287",12,"Riley Patterson",DET,"K19","9","1 out of 5 stars","-14"
"288",12,"Isaiah McKenzie",IND,"WR100","11","4 out of 5 stars","-"
"289",12,"Laviska Shenault Jr.",CAR,"WR101","7","4 out of 5 stars","-"
"290",12,"Michael Wilson",ARI,"WR102","14","3 out of 5 stars","-13"
"291",12,"Keaontay Ingram",ARI,"RB77","14","3 out of 5 stars","+9"
"292",12,"Jake Moody",SF,"K20","9","2 out of 5 stars","-89"
"293",12,"Matt Breida",NYG,"RB78","13","2 out of 5 stars","+55"
"294",12,"Evan Hull",IND,"RB79","11","3 out of 5 stars","-12"
"295",12,"Quez Watkins",PHI,"WR103","10","3 out of 5 stars","+69"
"296",12,"Detroit Lions",DET,"DST26","9","3 out of 5 stars","-24"
"297",12,"Cedric Tillman",CLE,"WR104","5","3 out of 5 stars","+58"
"298",12,"DeWayne McBride",MIN,"RB80","13","5 out of 5 stars","-17"
"299",12,"Cairo Santos",CHI,"K21","13","5 out of 5 stars","-"
"300",13,"Jordan Mason",SF,"RB81","9","4 out of 5 stars","+67"
"301",13,"Chris Evans",CIN,"RB82","7","3 out of 5 stars","+57"
"302",13,"Malik Davis",DAL,"RB83","7","3 out of 5 stars","+66"
"303",13,"Boston Scott",PHI,"RB84","10","1 out of 5 stars","-"
"304",13,"D'Ernest Johnson",JAC,"RB85","9","2 out of 5 stars","+38"
"305",13,"Justyn Ross",KC,"WR105","10","2 out of 5 stars","-76"
"306",13,"Sean Tucker",TB,"RB86","5","3 out of 5 stars","+41"
"307",13,"Dustin Hopkins",LAC,"K22","5","4 out of 5 stars","-"
"308",13,"JaMycal Hasty",JAC,"RB87","9","2 out of 5 stars","+24"
"309",13,"Russell Gage",TB,"WR106","5","4 out of 5 stars","-"
"310",13,"Ka'imi Fairbairn",HOU,"K23","7","5 out of 5 stars","-"
"311",13,"Nick Westbrook-Ikhine",TEN,"WR107","7","3 out of 5 stars","-"
"312",13,"Zonovan Knight",NYJ,"RB88","7","3 out of 5 stars","-"
"313",13,"Braxton Berrios",MIA,"WR108","10","3 out of 5 stars","-"
"314",13,"Devin Duvernay",BAL,"WR109","13","3 out of 5 stars","-"
"315",13,"Minnesota Vikings",MIN,"DST27","13","2 out of 5 stars","-67"
