"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"428",14,"Justin Watson",KC,"WR145","8","2 out of 5 stars","-"
"429",14,"Joe Flacco",NYJ,"QB41","10","1 out of 5 stars","+3"
"430",14,"Jeremy Ruckert",NYJ,"TE56","10","3 out of 5 stars","-"
"431",14,"N'Keal Harry",CHI,"WR146","14","3 out of 5 stars","-76"
"432",14,"Ian Thomas",CAR,"TE57","13","3 out of 5 stars","-"
"433",14,"Antoine Wesley",ARI,"WR147","13","2 out of 5 stars","-"
"434",14,"Tyrell Williams",FA,"WR148","-","-","-"
"435",14,"Abram Smith",NO,"RB121","14","3 out of 5 stars","-116"
"436",14,"Eric Ebron",FA,"TE58","-","-","-"
"437",14,"Ben Skowronek",LAR,"WR149","7","2 out of 5 stars","-"
"438",14,"Carlos Hyde",FA,"RB122","-","-","-"
"439",14,"Tyrod Taylor",NYG,"QB42","9","5 out of 5 stars","-12"
"440",14,"Blake Jarwin",FA,"TE59","-","-","-"
"441",14,"James O'Shaughnessy",CHI,"TE60","14","5 out of 5 stars","-"
"442",14,"Ty Chandler",MIN,"RB123","7","4 out of 5 stars","-"
"443",14,"Tarik Cohen",FA,"RB124","-","-","-"
"444",14,"Jordan Akins",NYG,"TE61","9","4 out of 5 stars","-"
"445",14,"Jermar Jefferson",DET,"RB125","6","4 out of 5 stars","-"
"446",14,"Auden Tate",FA,"WR150","-","-","-"
"447",14,"Durham Smythe",MIA,"TE62","11","3 out of 5 stars","-"
"448",14,"JaMycal Hasty",SF,"RB126","9","2 out of 5 stars","-"
"449",14,"Jordan Mason",SF,"RB127","9","2 out of 5 stars","-24"
"450",14,"Chris Herndon IV",FA,"TE63","-","-","-"
"451",15,"Ryan Santoso",NYG,"K37","9","1 out of 5 stars","-43"
"452",15,"Dez Fitzpatrick",TEN,"WR151","6","3 out of 5 stars","-"
"453",15,"Quinn Nordin",FA,"K38","-","-","-"
"454",15,"Ihmir Smith-Marsette",MIN,"WR152","7","2 out of 5 stars","-"
